Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Other,All Adults
Alabama,0.66,0.718,NSD,NSD,0.688,0.723,0.67
Alaska,0.642,NSD,0.743,NSD,0.679,0.711,0.648
Arizona,0.62,0.71,0.698,0.354,0.775,0.585,0.64
Arkansas,0.694,0.787,0.71,NSD,NSD,0.718,0.706
California,0.574,0.697,0.721,0.333,NSD,0.547,0.597
Colorado,0.557,0.685,0.656,0.382,0.641,0.506,0.574
Connecticut,0.588,0.71,0.66,0.428,NSD,0.6,0.604
Delaware,0.675,0.7,0.726,NSD,NSD,0.649,0.674
District of Columbia,0.409,0.696,0.587,NSD,NSD,0.636,0.549
Florida,0.606,0.703,0.64,0.439,NSD,0.61,0.622
Georgia,0.638,0.71,0.638,NSD,NSD,0.7,0.657
Hawaii,0.535,NSD,0.652,0.529,NSD,0.695,0.581
Idaho,0.651,NSD,0.711,NSD,NSD,NSD,0.657
Illinois,0.63,0.73,0.72,0.318,NSD,NSD,0.638
Indiana,0.663,0.714,0.692,0.42,0.682,0.616,0.665
Iowa,0.677,0.702,0.645,NSD,NSD,NSD,0.669
Kansas,0.654,0.711,0.683,0.506,0.757,0.693,0.66
Kentucky,0.669,0.764,0.479,NSD,0.643,0.677,0.667
Louisiana,0.672,0.743,0.656,NSD,NSD,0.735,0.689
Maine,0.646,NSD,NSD,NSD,0.7,0.693,0.645
Maryland,0.627,0.739,0.688,0.402,0.848,0.7,0.649
Massachusetts,0.589,0.725,0.635,0.346,NSD,0.59,0.589
Michigan,0.65,0.701,0.708,0.43,NSD,0.681,0.656
Minnesota,0.642,0.676,0.718,0.49,0.728,0.697,0.641
Mississippi,0.689,0.761,NSD,NSD,NSD,NSD,0.707
Missouri,0.659,0.713,0.602,NSD,NSD,0.638,0.656
Montana,0.625,NSD,0.588,NSD,0.747,0.648,0.63
Nebraska,0.665,0.717,0.677,0.441,0.74,0.74,0.667
Nevada,0.63,0.702,0.702,NSD,NSD,0.608,0.635
New Hampshire,0.637,NSD,NSD,NSD,NSD,0.561,0.636
New Jersey,0.624,0.722,0.699,0.429,NSD,0.614,0.631
New Mexico,0.6,0.723,0.67,NSD,0.795,0.764,0.649
New York,0.593,0.69,0.706,0.393,NSD,NSD,0.611
North Carolina,0.636,0.729,0.758,NSD,0.609,0.576,0.656
North Dakota,0.69,NSD,0.642,NSD,0.752,NSD,0.688
Ohio,0.661,0.749,0.609,NSD,0.939,0.642,0.667
Oklahoma,0.679,0.71,0.719,NSD,0.764,0.638,0.682
Oregon,0.619,NSD,0.659,NSD,NSD,0.63,0.617
Pennsylvania,0.643,0.728,0.669,NSD,NSD,0.595,0.641
Rhode Island,0.625,0.67,0.632,NSD,NSD,0.575,0.624
South Carolina,0.644,0.748,0.751,NSD,0.637,0.538,0.67
South Dakota,0.647,NSD,0.706,NSD,0.742,0.671,0.652
Tennessee,0.665,0.764,NSD,NSD,NSD,NSD,0.671
Texas,0.639,0.791,0.738,0.329,0.709,0.584,0.678
Utah,0.591,NSD,0.655,0.427,0.66,0.632,0.595
Vermont,0.601,NSD,NSD,NSD,NSD,0.687,0.602
Virginia,0.634,0.735,0.69,0.431,NSD,0.609,0.647
Washington,0.64,0.741,0.714,0.451,0.642,0.602,0.634
West Virginia,0.691,0.804,NSD,NSD,NSD,0.847,0.696
Wisconsin,0.676,0.721,0.706,NSD,0.72,0.783,0.674
Wyoming,0.637,NSD,0.721,NSD,0.74,0.568,0.646
Guam,0.581,NSD,0.702,0.625,NSD,0.651,0.634
Puerto Rico,NSD,NSD,0.658,NSD,NSD,NSD,0.659
